Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,EmailAddress,Username,Password,TelephoneNumber,TelephoneCountryCode,Birthday,Company,Domain
1,male,French,Mr.,Thibaut,C,Avare,"76 Rue de la Pompe",MAMOUDZOU,MY,Mayotte,97600,FR,France,ThibautAvare@jourrapide.com,Guis1991,Ie6iequ8ae,02.13.47.95.65,33,4/20/1991,"Budget Tapes & Records",SellLofts.fr
2,female,French,Mrs.,Demi,T,Ruel,"47 rue Banaudon",LYON,RA,Rhône-Alpes,69006,FR,France,DemiRuel@cuvox.de,Babot1996,Voh6afoo3,04.04.07.55.04,33,9/3/1996,Tianguis,BreakfastSales.fr
3,male,French,Mr.,Russell,B,Lamare,"53 rue des Chaligny",NICE,PA,"Provence-Alpes-Côte d'Azur",06300,FR,France,RussellLamare@fleckens.hu,Puntionve62,she1ohBeew,04.17.45.70.28,33,2/24/1962,Silo,WaxStyles.fr
4,female,French,Mrs.,"La Roux",M,Leblanc,"96 rue Clement Marot",PERPIGNAN,LN,Languedoc-Roussillon,66000,FR,France,LaRouxLeblanc@einrot.com,Imest1997,fooshohh6Zae,04.61.31.13.70,33,10/17/1997,"Jackpot Consultant",IncredibleBags.fr
5,male,French,Mr.,Serge,A,Bonenfant,"8 rue Léon Dierx",LOMME,NP,Nord-Pas-de-Calais,59160,FR,France,SergeBonenfant@rhyta.com,Thicest,eeCeex5nie,03.90.98.39.27,33,11/10/1975,"Kelly and Cohen",PokerPortraits.fr
6,male,French,Mr.,Benjamin,P,Tremblay,"82 Avenue des Pr'es",MONTIGNY-LE-BRETONNEUX,IL,Île-de-France,78180,FR,France,BenjaminTremblay@rhyta.com,Hinceeng,ieg7ahGh,01.95.21.43.53,33,4/14/1997,"Strategy Planner",SmokingRestaurant.fr
7,female,French,Mrs.,Bradamate,J,Michel,"69 rue Banaudon",LYON,RA,Rhône-Alpes,69008,FR,France,BradamateMichel@cuvox.de,Theyers,eX3soo0seik,04.70.84.78.65,33,2/3/1997,"Foot Quarters",LookWealthy.fr
8,male,French,Mr.,Charlot,Z,Fortin,"96 rue des Dunes",SAINT-MARTIN-D'HÈRES,RA,Rhône-Alpes,38400,FR,France,CharlotFortin@cuvox.de,Cousk1997,waiFiec7,04.11.46.38.35,33,4/4/1997,"Morrie Mages",AtlasCam.fr
9,male,French,Mr.,Bevis,A,Soucy,"38 Rue de Verdun",MONTÉLIMAR,RA,Rhône-Alpes,26200,FR,France,BevisSoucy@armyspy.com,Forate,Poose6tohcei,04.76.85.97.01,33,5/28/1980,"Solution Answers",HisTeacher.fr
10,female,French,Mrs.,Paulette,T,Trottier,"13 avenue Ferdinand de Lesseps",GRENOBLE,RA,Rhône-Alpes,38100,FR,France,PauletteTrottier@teleworm.us,Tiour1968,Keeso5ch,04.99.40.33.14,33,3/28/1968,"Media Play",MLSReview.fr
11,female,French,Dr.,Hélène,J,Ménard,"45 rue des Soeurs","LA CIOTAT",PA,"Provence-Alpes-Côte d'Azur",13600,FR,France,HeleneMenard@einrot.com,Capost,aighahQuie6oo,04.62.64.18.49,33,7/22/1958,"Gamma Realty",ChiropractorsTips.fr
12,female,French,Ms.,Madelene,A,Crête,"40 avenue Voltaire",MALAKOFF,IL,Île-de-France,92240,FR,France,MadeleneCrete@einrot.com,Seliestionce,ieZ7shier,01.44.03.81.13,33,9/27/1984,"Alladin's Lamp",HumorCheck.fr
13,male,French,Mr.,Valiant,V,Bussière,"59 Rue de Verdun",MONT-DE-MARSAN,AQ,Aquitaine,40000,FR,France,ValiantBussiere@einrot.com,Undfuld,iam4Ni6fav,05.12.14.25.72,33,10/8/1965,"Skaggs-Alpha Beta",BasketballPhotography.fr
14,female,French,Ms.,Véronique,M,Souplet,"38 rue Marguerite",VILLEURBANNE,RA,Rhône-Alpes,69100,FR,France,VeroniqueSouplet@gustr.com,Calwascame95,eTah6aiko,04.62.44.82.74,33,11/12/1995,"Crafts & More",CartridgeBargains.fr
15,female,French,Ms.,Susanne,M,LeBatelier,"34 rue Pierre De Coubertin",TOULOUSE,MP,Midi-Pyrénées,31300,FR,France,SusanneLeBatelier@superrito.com,Themores,tho5ohPie7d,05.89.81.86.29,33,6/12/1986,Orion,VoiceScar.fr
16,female,French,Ms.,Maurelle,H,Émond,"92 rue Clement Marot",PERPIGNAN,LN,Languedoc-Roussillon,66000,FR,France,MaurelleEmond@dayrep.com,Giceit1969,uoqu4Urai,04.00.19.36.68,33,10/18/1969,"Lawn N' Order Garden Care",VegetableBread.fr
17,male,French,Mr.,Laurent,A,Cotuand,"34 Place Charles de Gaulle",VILLENAVE-D'ORNON,AQ,Aquitaine,33140,FR,France,LaurentCotuand@fleckens.hu,Mancien,Ca7fiiyee,05.61.04.85.48,33,10/6/1963,Hastings,FratFoods.fr
18,male,French,Mr.,Denis,M,Foucault,"99 Place du Jeu de Paume",VIGNEUX-SUR-SEINE,IL,Île-de-France,91270,FR,France,DenisFoucault@rhyta.com,Abuthery,ohz7oPai9,01.08.12.72.16,33,9/19/1997,"Sound Warehouse",MirrorSupply.fr
19,female,French,Ms.,Crescent,A,Bousquet,"48 rue Jean Vilar",BELFORT,FC,Franche-Comté,90000,FR,France,CrescentBousquet@armyspy.com,Foromed,theevah3aPei,03.30.93.43.05,33,8/15/1988,"MVP Sports",RentalMaids.fr
