GivenName,Surname,Path,Company,Department,Title,Office,OfficePhone,PostalCode,City,StreetAddress,Description,Manager,Country
"Jacques","DAIGLE","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Direction","Directeur","100","+33 1 42 92 81 01","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=Administrator,CN=Users,DC=corp,DC=priv","FR"
"Véronique","Souplet","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Assistante","Assistante de Direction","101","+33 1 42 92 81 01","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=DAIGLE Jacques (jacques.daigle),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Marcel","DANDONNEAU","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Département Juridique","Responsable Juridique","102","+33 1 42 92 81 02","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=DAIGLE Jacques (jacques.daigle),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Yvette","PARMENTIER","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Département Juridique","Juriste","103","+33 1 42 92 81 03","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=DANDONNEAU Marcel (marcel.dandonneau),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Victorine","MARIER","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Département Juridique","Juriste","104","+33 1 42 92 81 04","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=DANDONNEAU Marcel (marcel.dandonneau),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Marguerite","PATEL","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Ressources Humaines","Responsable ressources humaines","105","+33 1 42 92 81 05","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=DAIGLE Jacques (jacques.daigle),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Pierre","ECHEVERRI","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Ressources Humaines","Administration du personnel et Paie","106","+33 1 42 92 81 06","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=PATEL Marguerite (marguerite.patel),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Amber","COUTURIER","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Ressources Humaines","Administration du personnel et Paie","106","+33 1 42 92 81 07","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=PATEL Marguerite (marguerite.patel),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Christiane","MARLEAU","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Ressources Humaines","Administration du personnel et Paie","106","+33 1 42 92 81 08","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=PATEL Marguerite (marguerite.patel),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Nicholas","PARENTEAU","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Ressources Humaines","Administration du personnel et Paie","106","+33 1 42 92 81 09","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=PATEL Marguerite (marguerite.patel),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Hugues","DUPERRÉ","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Département Compatble","Responsable département comptable","107","+33 1 42 92 81 10","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=DAIGLE Jacques (jacques.daigle),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Romain","GRIMARD","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Département Compatble","Contrôleur de Gestion","108","+33 1 42 92 81 11","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=DUPERRÉ Hugues (hugues.duperre),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Élise","ADLER","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Département Compatble","Contrôleur de Gestion","108","+33 1 42 92 81 12","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=DUPERRÉ Hugues (hugues.duperre),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Fantina","LEBEL","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Département Compatble","Comptable","109","+33 1 42 92 81 13","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=DUPERRÉ Hugues (hugues.duperre),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
"Charline","PELLERIN","OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","Corporate","Département Compatble","Comptable","109","+33 1 42 92 81 14","75008","Paris","55 Rue du Faubourg Saint-Honoré","Corporate User","CN=DUPERRÉ Hugues (hugues.duperre),OU=Users,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv","FR"
